views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
7187,1,230,2018-02-24,2018-10-12,129,0,EN,1
2561,1,212,2018-02-25,2018-09-25,130,0,EN,1
3764,1,224,2018-03-01,2018-10-11,131,0,EN,1
352,0,176,2018-04-15,2018-10-08,132,0,EN,1
103,0,194,2018-04-01,2018-10-12,133,0,EN,0
509,1,233,2018-02-13,2018-10-04,134,0,EN,1
52505,1,276,2018-01-09,2018-10-12,135,0,IT,1
1833,0,212,2018-02-20,2018-09-20,136,0,EN,1
3471,0,271,2018-01-10,2018-10-08,137,0,EN,1
10008,0,219,2018-03-05,2018-10-10,138,0,EN,1
1801,1,228,2018-02-25,2018-10-11,139,0,EN,1
15,0,92,2018-04-07,2018-07-08,140,1,EN,0
1247,0,136,2018-05-01,2018-09-14,141,0,PT,0
7011,1,266,2018-01-19,2018-10-12,142,0,EN,1
652,0,207,2018-02-25,2018-09-20,143,0,EN,0
1591,0,200,2018-03-26,2018-10-12,144,0,EN,1
7477,1,174,2018-04-21,2018-10-12,145,0,EN,1
8032,1,210,2018-03-16,2018-10-12,146,0,PT,1
834,0,222,2018-03-01,2018-10-09,147,0,EN,0
1344,1,211,2018-03-12,2018-10-09,148,0,EN,1
3664,1,274,2018-01-11,2018-10-12,149,0,EN,1
1262,0,159,2018-05-06,2018-10-12,150,0,EN,1
982,1,247,2018-02-03,2018-10-08,151,0,EN,1
17191,1,225,2018-03-01,2018-10-12,152,0,EN,1
1105,1,222,2018-03-04,2018-10-12,153,0,DE,1
646,1,167,2018-04-15,2018-09-29,154,0,EN,1
5218,1,269,2018-01-01,2018-09-27,155,0,EN,1
2144,1,275,2018-01-10,2018-10-12,156,0,EN,1
1798,0,267,2018-01-18,2018-10-12,157,0,EN,1
7846,0,229,2018-02-25,2018-10-12,158,0,EN,1
2530,1,225,2018-03-01,2018-10-12,159,0,EN,0
41546,0,282,2018-01-03,2018-10-12,160,0,OTHER,0
1663,0,197,2018-03-28,2018-10-11,161,0,ES,0
1772,0,226,2018-02-28,2018-10-12,162,0,EN,1
1156,1,179,2018-04-07,2018-10-03,163,0,EN,1
1988,1,180,2018-04-06,2018-10-03,164,0,EN,1
5413,1,218,2018-03-06,2018-10-10,165,0,EN,1
4575,0,223,2018-03-03,2018-10-12,166,0,FR,1
12000,1,212,2018-03-14,2018-10-12,167,0,EN,1
5878,0,225,2018-03-01,2018-10-12,168,0,EN,1
813,0,257,2018-01-28,2018-10-12,169,0,EN,1
2084,1,255,2018-01-28,2018-10-10,170,0,EN,1
7156,0,250,2018-02-04,2018-10-12,171,0,EN,1
19385,1,225,2018-03-01,2018-10-12,172,0,PT,1
56307,1,284,2018-01-01,2018-10-12,173,0,EN,1
1407,1,191,2018-03-20,2018-09-27,174,0,EN,1
6580,1,236,2018-02-18,2018-10-12,175,0,EN,0
60207,1,235,2018-02-19,2018-10-12,176,0,EN,0
2071,0,255,2018-01-19,2018-10-01,177,0,EN,1
9578,1,214,2018-03-12,2018-10-12,178,0,EN,1
2431,0,284,2018-01-01,2018-10-12,179,0,EN,1
21956,1,277,2018-01-08,2018-10-12,180,0,EN,1
1195,1,184,2018-04-11,2018-10-12,181,0,EN,1
1114,1,248,2018-02-06,2018-10-12,182,0,EN,1
471,1,190,2018-03-29,2018-10-05,183,0,EN,1
509,0,209,2018-03-09,2018-10-04,184,0,EN,0
1638,1,168,2018-04-24,2018-10-09,185,0,EN,1
3688,1,168,2018-04-23,2018-10-08,186,0,EN,1
2522,1,230,2018-02-24,2018-10-12,187,0,EN,1
560,0,233,2018-02-17,2018-10-08,188,0,EN,1
1429,1,251,2018-01-19,2018-09-27,189,0,EN,1
2649,1,272,2018-01-13,2018-10-12,190,0,EN,1
544,0,281,2018-01-01,2018-10-09,191,0,EN,0
629,0,175,2018-04-14,2018-10-06,192,0,EN,0
10445,1,270,2018-01-14,2018-10-11,193,0,EN,1
11237,1,262,2018-01-23,2018-10-12,194,0,EN,1
11784,1,270,2018-01-15,2018-10-12,195,0,TR,1
5296,0,201,2018-03-25,2018-10-12,196,0,EN,1
5924,1,176,2018-04-19,2018-10-12,197,0,EN,1
2556,0,227,2018-02-27,2018-10-12,198,0,EN,1
492,1,180,2018-04-02,2018-09-29,199,0,EN,0
1155,0,159,2018-04-30,2018-10-06,200,0,EN,0
2403,0,205,2018-03-21,2018-10-12,201,0,EN,1
6874,1,186,2018-04-09,2018-10-12,202,0,FR,1
6926,0,199,2018-03-26,2018-10-11,203,0,EN,1
5982,1,273,2018-01-12,2018-10-12,204,0,EN,1
1869,1,214,2018-03-11,2018-10-11,205,0,EN,1
13082,1,247,2018-02-06,2018-10-11,206,0,EN,1
4601,0,184,2018-02-28,2018-08-31,207,0,IT,1
1274,0,223,2018-03-01,2018-10-10,208,0,EN,1
12423,0,173,2018-04-22,2018-10-12,209,0,FR,0
1536,0,241,2018-02-13,2018-10-12,210,0,EN,1
9453,0,238,2018-02-16,2018-10-12,211,0,EN,0
6593,0,264,2018-01-11,2018-10-02,212,0,IT,1
315,1,179,2018-04-06,2018-10-02,213,0,EN,0
2273,0,276,2018-01-07,2018-10-10,214,0,EN,1
47,1,94,2018-05-06,2018-08-08,215,0,EN,0
9655,1,259,2018-01-26,2018-10-12,216,0,EN,1
1302,1,245,2018-02-09,2018-10-12,217,0,EN,1
272,1,257,2018-01-27,2018-10-11,218,0,EN,0
6625,1,216,2018-03-05,2018-10-07,219,0,EN,1
2273,1,250,2018-02-04,2018-10-12,220,0,EN,1
1307,0,206,2018-03-19,2018-10-11,221,0,EN,0
2397,0,256,2018-01-29,2018-10-12,222,0,EN,1
380,0,243,2018-02-11,2018-10-12,223,0,EN,0
2772,1,214,2018-03-12,2018-10-12,224,0,EN,1
1309,0,212,2018-03-04,2018-10-02,225,0,EN,1
1028,1,214,2018-03-12,2018-10-12,226,0,EN,1
11388,1,212,2018-03-13,2018-10-11,227,0,EN,1
24827,1,256,2018-01-26,2018-10-09,228,0,OTHER,0
6813,1,155,2018-03-20,2018-08-22,229,0,EN,1
943,0,131,2018-03-08,2018-07-17,230,0,EN,0
620,1,114,2018-04-14,2018-08-06,231,0,EN,0
1273,1,175,2018-04-19,2018-10-11,232,0,EN,1
859,0,217,2018-03-09,2018-10-12,233,0,EN,1
2534,1,207,2018-03-17,2018-10-10,234,0,EN,1
313,0,162,2018-03-28,2018-09-06,235,0,EN,0
12290,1,222,2018-01-21,2018-08-31,236,0,EN,1
10746,1,122,2018-04-25,2018-08-25,237,0,EN,1
11032,1,266,2018-01-19,2018-10-12,238,0,FR,1
25588,1,228,2018-02-26,2018-10-12,239,0,FR,1
587,0,201,2018-03-22,2018-10-09,240,0,EN,0
36077,1,207,2018-03-19,2018-10-12,241,0,EN,1
4787,0,236,2018-02-17,2018-10-11,242,0,ES,1
15135,0,231,2018-02-21,2018-10-10,243,0,EN,1
436,1,186,2018-03-14,2018-09-16,244,0,EN,1
3003,0,202,2018-03-24,2018-10-12,245,0,EN,1
5276,0,278,2018-01-05,2018-10-10,246,0,EN,1
4094,1,217,2018-03-07,2018-10-10,247,0,EN,1
2250,1,183,2018-02-16,2018-08-18,248,0,EN,1
4587,1,215,2018-03-11,2018-10-12,249,0,EN,1
2220,0,224,2018-03-01,2018-10-11,250,0,EN,1
3057,1,221,2018-03-02,2018-10-09,251,0,EN,1
5587,1,208,2018-03-02,2018-09-26,252,0,EN,1
1740,0,262,2018-01-23,2018-10-12,253,0,EN,1
7151,0,203,2018-03-23,2018-10-12,254,0,DE,1
9545,1,255,2018-01-22,2018-10-04,255,0,EN,1
1232,1,198,2018-03-23,2018-10-07,256,0,EN,1
852,0,274,2018-01-10,2018-10-11,257,0,TH,0
738,0,204,2018-02-03,2018-08-26,258,0,EN,1
40937,0,202,2018-03-24,2018-10-12,259,0,ES,0
1826,1,250,2018-02-03,2018-10-11,260,0,EN,1
523,0,206,2018-03-12,2018-10-04,261,0,EN,0
736,0,180,2018-04-02,2018-09-29,262,0,EN,0
3114,1,184,2018-04-11,2018-10-12,263,0,EN,1
939,1,269,2018-01-16,2018-10-12,264,0,EN,0
758,1,263,2018-01-20,2018-10-10,265,0,EN,0
79,0,174,2018-04-12,2018-10-03,266,0,EN,0
1209,0,273,2018-01-03,2018-10-03,267,0,EN,1
1193,1,208,2018-03-16,2018-10-10,268,0,EN,1
1459,1,277,2018-01-05,2018-10-09,269,0,EN,0
3209,0,204,2018-03-15,2018-10-05,270,0,EN,1
470,0,251,2018-01-27,2018-10-05,271,0,PT,0
450,1,262,2018-01-16,2018-10-05,272,0,EN,1
418,0,128,2018-03-24,2018-07-30,273,0,EN,0
2755,1,256,2018-01-16,2018-09-29,274,0,EN,1
9564,0,228,2018-02-26,2018-10-12,275,0,TH,1
5890,1,273,2018-01-09,2018-10-09,276,0,EN,1
174,0,278,2018-01-06,2018-10-11,277,0,EN,0
9677,1,185,2018-04-10,2018-10-12,278,0,EN,1
2156,0,234,2018-02-20,2018-10-12,279,0,ES,1
1389,1,225,2018-02-04,2018-09-17,280,0,EN,1
686,1,228,2018-02-02,2018-09-18,281,0,EN,1
78,0,139,2018-04-22,2018-09-08,282,0,EN,0
3845,0,224,2018-03-02,2018-10-12,283,0,EN,1
3453,0,192,2018-02-22,2018-09-02,284,0,EN,1
1673,1,192,2018-04-02,2018-10-11,285,0,EN,1
1075,1,219,2018-02-28,2018-10-05,286,0,IT,0
2802,1,223,2018-02-25,2018-10-06,287,0,EN,1
1503,1,221,2018-02-20,2018-09-29,288,0,EN,1
9037,1,261,2018-01-24,2018-10-12,289,0,DE,1
4872,1,210,2018-03-14,2018-10-10,290,0,EN,1
1614,0,221,2018-02-24,2018-10-03,291,0,EN,1
1779,1,271,2018-01-13,2018-10-11,292,0,EN,1
1522,0,205,2018-03-13,2018-10-04,293,0,ES,1
1252,1,203,2018-02-20,2018-09-11,294,0,DE,1
4323,1,251,2018-02-03,2018-10-12,295,0,EN,1
4406,1,275,2018-01-06,2018-10-08,296,0,EN,1
1864,0,257,2018-01-27,2018-10-11,297,0,EN,0
519,0,238,2018-01-08,2018-09-03,298,0,EN,0
360,0,191,2018-03-18,2018-09-25,299,0,EN,0
6855,1,231,2018-02-09,2018-09-28,300,0,EN,1
6225,0,260,2018-01-23,2018-10-10,301,0,EN,1
1833,1,218,2018-03-08,2018-10-12,302,0,FR,0
104,0,255,2018-01-27,2018-10-09,303,0,EN,0
10749,1,230,2018-02-24,2018-10-12,304,0,EN,1
1123,0,106,2018-04-17,2018-08-01,305,0,EN,0
940,0,249,2018-02-01,2018-10-08,306,0,EN,1
17090,1,258,2018-01-27,2018-10-12,307,0,ES,1
546,1,253,2018-01-30,2018-10-10,308,0,ES,0
4539,1,217,2018-03-07,2018-10-10,309,0,EN,1
100966,0,279,2018-01-06,2018-10-12,310,0,TH,0
22671,0,253,2018-02-01,2018-10-12,311,0,EN,0
2371,0,228,2018-02-25,2018-10-11,312,0,EN,1
14,0,208,2018-01-27,2018-08-23,313,0,EN,0
1277,1,259,2018-01-26,2018-10-12,314,0,EN,1
10921,0,269,2018-01-13,2018-10-09,315,0,EN,1
2431,0,280,2018-01-05,2018-10-12,316,0,EN,0
2378,1,274,2018-01-11,2018-10-12,317,0,EN,1
5784,1,231,2018-02-23,2018-10-12,318,0,EN,1
1178,0,244,2018-02-05,2018-10-07,319,0,EN,0
1428,0,253,2018-01-28,2018-10-08,320,0,EN,1
1245,1,207,2018-03-17,2018-10-10,321,0,EN,0
50183,0,163,2018-05-02,2018-10-12,322,0,EN,0
136,0,196,2018-03-14,2018-09-26,323,0,FR,0
4787,0,268,2018-01-17,2018-10-12,324,0,EN,1
530,0,274,2018-01-05,2018-10-06,325,0,EN,1
1757,1,225,2018-03-01,2018-10-12,326,0,EN,1
132,0,180,2018-02-27,2018-08-26,327,0,EN,0
15606,1,243,2018-02-11,2018-10-12,328,0,EN,1
4682,1,260,2018-01-23,2018-10-10,329,0,EN,1
1262,0,210,2018-03-15,2018-10-11,330,0,EN,1
1725,1,182,2018-03-31,2018-09-29,331,0,EN,1
18684,1,257,2018-01-28,2018-10-12,332,0,EN,1
4495,0,195,2018-03-29,2018-10-10,333,0,EN,1
405,0,203,2018-03-04,2018-09-23,334,0,EN,0
447,0,205,2018-02-19,2018-09-12,335,0,IT,0
8242,1,230,2018-02-24,2018-10-12,336,0,EN,1
3368,1,241,2018-02-07,2018-10-06,337,0,EN,1
9449,1,281,2018-01-04,2018-10-12,338,0,EN,1
3909,1,230,2018-02-24,2018-10-12,339,0,EN,1
895,1,254,2018-01-28,2018-10-09,340,0,EN,0
1112,1,173,2018-04-14,2018-10-04,341,0,EN,1
1796,0,240,2018-01-05,2018-09-02,342,0,EN,1
1620,1,264,2018-01-19,2018-10-10,343,0,ES,1
300,0,240,2018-02-14,2018-10-12,344,0,EN,1
609,1,219,2018-02-15,2018-09-22,345,0,EN,1
9609,1,270,2018-01-15,2018-10-12,346,0,EN,1
879,1,224,2018-03-02,2018-10-12,347,0,EN,1
19292,1,275,2018-01-10,2018-10-12,348,0,EN,1
29510,1,238,2018-02-16,2018-10-12,349,0,ES,1
869,1,272,2018-01-03,2018-10-02,350,0,EN,1
2541,0,200,2018-03-20,2018-10-06,351,0,EN,1
5877,1,275,2018-01-09,2018-10-11,352,0,EN,1
7501,0,212,2018-03-14,2018-10-12,353,0,FR,1
3213,1,276,2018-01-08,2018-10-11,354,0,EN,1
475,0,159,2018-02-19,2018-07-28,355,0,EN,0
2029,0,190,2018-03-26,2018-10-02,356,0,EN,1
376,1,185,2018-04-10,2018-10-12,357,0,EN,0
544,1,232,2018-02-17,2018-10-07,358,0,EN,1
1880,0,241,2018-02-07,2018-10-06,359,0,EN,1
2965,1,182,2018-04-12,2018-10-11,360,0,EN,1
1572,0,204,2018-03-22,2018-10-12,361,0,EN,1
1275,0,251,2018-01-30,2018-10-08,362,0,EN,0
717,1,232,2018-02-21,2018-10-11,363,0,EN,1
856,1,227,2018-02-26,2018-10-11,364,0,EN,0
13277,1,251,2018-01-31,2018-10-09,365,0,PT,0
466,1,246,2018-02-02,2018-10-06,366,0,EN,0
308,0,272,2018-01-12,2018-10-11,367,0,EN,0
5602,1,214,2018-03-12,2018-10-12,368,0,EN,1
4870,0,281,2018-01-04,2018-10-12,369,0,EN,1
11838,0,277,2018-01-08,2018-10-12,370,0,KO,1
5065,1,183,2018-04-12,2018-10-12,371,0,EN,1
5817,0,188,2018-04-07,2018-10-12,372,0,EN,1
1535,1,203,2018-03-11,2018-09-30,373,0,EN,1
289,0,207,2018-02-26,2018-09-21,374,0,EN,0
470,1,222,2018-02-28,2018-10-08,375,0,EN,0
3624,1,246,2018-01-17,2018-09-20,376,0,EN,1
1913,0,189,2018-04-02,2018-10-08,377,0,EN,1
2252,0,280,2018-01-04,2018-10-11,378,0,KO,1
1642,0,226,2018-02-26,2018-10-10,379,0,FR,0
7178,0,256,2018-01-29,2018-10-12,380,0,ES,1
55976,0,269,2018-01-16,2018-10-12,381,0,EN,1
127,0,180,2018-03-29,2018-09-25,382,0,EN,0
2053,0,238,2018-02-01,2018-09-27,383,0,EN,1
235,0,190,2018-03-22,2018-09-28,384,0,EN,0
3454,0,260,2018-01-24,2018-10-11,385,0,EN,1
512,1,184,2018-02-26,2018-08-29,386,0,EN,0
3469,0,261,2018-01-24,2018-10-12,387,0,EN,1
5012,0,263,2018-01-22,2018-10-12,388,0,EN,1
2052,0,271,2018-01-01,2018-09-29,389,0,EN,0
5386,0,193,2018-04-02,2018-10-12,390,0,PT,1
1206,1,186,2018-04-09,2018-10-12,391,0,EN,1
2710,1,210,2018-03-09,2018-10-05,392,0,EN,1
4219,1,268,2018-01-14,2018-10-09,393,0,FR,1
6914,0,252,2018-02-02,2018-10-12,394,0,EN,1
95,1,255,2018-01-17,2018-09-29,395,0,EN,0
3710,1,219,2018-03-06,2018-10-11,396,0,EN,1
6329,1,234,2018-02-17,2018-10-09,397,0,FR,1
2620,0,264,2018-01-20,2018-10-11,398,0,EN,1
2283,1,250,2018-02-04,2018-10-12,399,0,EN,1
735,0,148,2018-04-11,2018-09-06,400,0,EN,0
7228,0,239,2018-02-15,2018-10-12,401,0,EN,1
509,0,211,2018-03-14,2018-10-11,402,0,ES,0
363,0,151,2018-04-11,2018-09-09,403,0,EN,1
2093,0,219,2018-03-06,2018-10-11,404,0,EN,1
1619,1,261,2018-01-24,2018-10-12,405,0,ES,1
4892,1,252,2018-02-01,2018-10-11,406,0,EN,1
922,0,246,2018-02-08,2018-10-12,407,0,ES,1
10314,1,207,2018-03-16,2018-10-09,408,0,EN,1
759,0,188,2018-03-17,2018-09-21,409,0,EN,1
10187,0,277,2018-01-08,2018-10-12,410,0,EN,1
804,1,236,2018-02-06,2018-09-30,411,0,EN,1
45180,1,190,2018-04-03,2018-10-10,412,0,EN,1
7122,1,177,2018-04-15,2018-10-09,413,0,EN,1
9647,1,180,2018-04-15,2018-10-12,414,0,EN,1
8906,1,241,2018-02-13,2018-10-12,415,0,EN,1
1141,0,169,2018-04-20,2018-10-06,416,0,EN,1
2711,0,261,2018-01-19,2018-10-07,417,0,ES,1
3797,0,166,2018-04-29,2018-10-12,418,0,ES,1
455,0,214,2018-03-08,2018-10-08,419,0,EN,1
10225,1,266,2018-01-17,2018-10-10,420,0,EN,1
224,1,187,2018-03-21,2018-09-24,421,0,EN,0
7865,0,193,2018-04-02,2018-10-12,422,0,EN,1
818,1,168,2018-03-25,2018-09-09,423,0,EN,1
2946,1,205,2018-03-18,2018-10-09,424,0,EN,1
8407,0,227,2018-02-27,2018-10-12,425,0,ES,1
2463,1,217,2018-03-08,2018-10-11,426,0,EN,1
3696,1,256,2018-01-29,2018-10-12,427,0,EN,1
1373,0,233,2018-01-26,2018-09-16,428,0,FR,0
767,0,255,2018-01-16,2018-09-28,429,0,IT,1
1970,0,223,2018-02-23,2018-10-04,430,0,EN,1
631,0,178,2018-03-15,2018-09-09,431,0,EN,1
2486,0,171,2018-04-24,2018-10-12,432,0,EN,0
6742,1,188,2018-03-07,2018-09-11,433,0,OTHER,1
5645,1,258,2018-01-08,2018-09-23,434,0,EN,1
4446,0,277,2018-01-08,2018-10-12,435,0,EN,1
8623,0,253,2018-01-28,2018-10-08,436,0,EN,1
1279,0,219,2018-03-07,2018-10-12,437,0,EN,1
3744,0,146,2018-04-07,2018-08-31,438,0,EN,0
1563,1,205,2018-03-15,2018-10-06,439,0,EN,1
242,1,175,2018-04-16,2018-10-08,440,0,EN,0
1180,1,262,2018-01-22,2018-10-11,441,0,EN,1
1417,1,250,2018-02-02,2018-10-10,442,0,EN,0
4110,1,251,2018-02-03,2018-10-12,443,0,EN,1
9384,0,237,2018-02-17,2018-10-12,444,0,EN,1
4799,1,267,2018-01-18,2018-10-12,445,0,FR,1
371,0,211,2018-03-10,2018-10-07,446,0,EN,0
5126,1,228,2018-02-26,2018-10-12,447,0,EN,1
1908,1,239,2018-02-09,2018-10-06,448,0,EN,1
7467,0,242,2018-01-23,2018-09-22,449,0,EN,1
6160,1,204,2018-03-21,2018-10-11,450,0,EN,1
1650,0,212,2018-03-14,2018-10-12,451,0,FR,1
677,1,252,2018-01-26,2018-10-05,452,0,EN,0
4856,1,262,2018-01-23,2018-10-12,453,0,EN,1
13901,1,265,2018-01-20,2018-10-12,454,0,EN,1
746,0,207,2018-03-16,2018-10-09,455,0,EN,0
1086,1,275,2018-01-08,2018-10-10,456,0,EN,1
2733,0,222,2018-03-04,2018-10-12,457,0,FR,0
5671,0,201,2018-03-17,2018-10-04,458,0,EN,1
2771,0,219,2018-03-01,2018-10-06,459,0,EN,1
3682,1,265,2018-01-19,2018-10-11,460,0,EN,1
1045,1,198,2018-03-12,2018-09-26,461,0,EN,1
4239,0,224,2018-03-01,2018-10-11,462,0,ES,1
535,0,242,2018-02-12,2018-10-12,463,0,EN,0
276,1,281,2018-01-01,2018-10-09,464,0,EN,0
2299,0,272,2018-01-13,2018-10-12,465,0,EN,1
5330,0,225,2018-03-01,2018-10-12,466,0,EN,1
778,1,260,2018-01-12,2018-09-29,467,0,EN,0
