"views","mature","life_time","created_at","updated_at","numeric_id","dead_account","language","affiliate","account_age","log_views","engagement_ratio","is_affiliated","language_group","degree","betweenness","closeness","eigenvector","views_per_lifetime"
82078,1,2293,15523,17816,416,0,"EN",1,19954.8203356481,11.3154374770945,35.7950283471435,1,"EN",6,1.89481475669815e-05,0.23945595743768,0.00494714092017283,35.7950283471435
2412,0,315,17496,17811,458,0,"EN",0,19954.7975,7.78862606562503,7.65714285714286,0,"EN",3,4.01085180137429e-06,0.204065962192402,0.000275145850920529,7.65714285714286
603987,1,1398,16418,17816,488,0,"DE",0,19954.8099768519,13.3113096091699,432.036480686695,0,"DE",9,0.000489906026060326,0.271925550574937,0.0148011027180607,432.036480686695
3493,1,775,17036,17811,522,0,"EN",1,19954.8028240741,8.158802490694,4.50709677419355,1,"EN",5,0.000201049667018112,0.269093539054966,0.0207138089059067,4.50709677419355
406,0,1669,16142,17811,526,0,"EN",0,19954.8131712963,6.00881318544259,0.243259436788496,0,"EN",1,0,0.224732221953773,0.00128180057866539,0.243259436788496
98373,0,2321,15480,17801,531,0,"EN",0,19954.8208333333,11.4965318204838,42.3838862559242,0,"EN",8,0.000186463033007982,0.281612675345645,0.0292825690542213,42.3838862559242
6693,1,1147,16669,17816,560,0,"RU",1,19954.8070717593,8.80896688177127,5.83522231909329,1,"RU",2,0,0.185612611414128,3.73507663518764e-05,5.83522231909329
2555,1,751,17064,17815,586,0,"EN",0,19954.8025,7.84619881549743,3.40213049267643,0,"EN",2,3.49119585135564e-05,0.221029702970297,0.000941895442919068,3.40213049267643
952,0,545,17271,17816,593,0,"EN",0,19954.8001041667,6.8596149036542,1.74678899082569,0,"EN",1,0,0.205796673918655,0.000305443958202959,1.74678899082569
4015,1,1677,16136,17813,615,0,"EN",1,19954.8132407407,8.29804166137157,2.39415623136553,1,"EN",2,6.55683738605495e-05,0.229368732533289,0.00151893624087034,2.39415623136553
2040,0,982,16833,17815,710,0,"CS",0,19954.8051736111,7.62119516280984,2.07739307535642,0,"OTHER",0,0,0.242736604036186,1.73380508558426e-17,2.07739307535642
14945,0,2195,15621,17816,750,0,"EN",1,19954.8192013889,9.61219898449024,6.80865603644647,1,"EN",3,1.39228894070343e-06,0.231260100277628,0.00196960073633748,6.80865603644647
3535,1,232,17582,17814,754,0,"FR",0,19954.7965046296,8.17075142375753,15.2370689655172,0,"FR",0,0,0.242736604036186,1.73380508558426e-17,15.2370689655172
14332,1,958,16854,17812,756,0,"ES",1,19954.8049305556,9.57031984992322,14.9603340292276,1,"ES",1,0,0.227331975560081,0.00137485797439002,14.9603340292276
3236,0,546,17268,17814,764,0,"EN",1,19954.8001388889,8.08240225392624,5.92673992673993,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,5.92673992673993
16966,0,2511,15305,17816,771,0,"FR",0,19954.8228587963,9.73902556004294,6.75667064914377,0,"FR",0,0,0.242736604036186,1.73380508558426e-17,6.75667064914377
796,1,2068,15745,17813,798,0,"EN",0,19954.8177662037,6.68085467879022,0.384912959381044,0,"EN",8,0.00077755983506487,0.311544043764653,0.0630115903075581,0.384912959381044
2223,1,873,16943,17816,799,0,"EN",1,19954.803900463,7.70706265537047,2.54639175257732,1,"EN",5,5.10608125637429e-05,0.244052824908169,0.0035366629209086,2.54639175257732
7648,0,1854,15962,17816,801,0,"RU",0,19954.8152546296,8.94233019932187,4.12513484358145,0,"RU",0,0,0.242736604036186,1.73380508558426e-17,4.12513484358145
18642,1,1308,16508,17816,821,0,"FR",1,19954.8089351852,9.83322601949546,14.2522935779817,1,"FR",3,4.1843769696241e-06,0.190399836244541,3.91643577815526e-05,14.2522935779817
5215,0,1412,16394,17806,825,0,"EN",1,19954.8102546296,8.55948610360649,3.69334277620397,1,"EN",2,3.90616663597672e-06,0.236372877048833,0.00290323217713351,3.69334277620397
2306,1,1928,15888,17816,841,0,"EN",1,19954.8161111111,7.74370325817375,1.19605809128631,1,"EN",4,7.9827925292978e-05,0.263727435970135,0.0141494541815133,1.19605809128631
2009,0,879,16936,17815,862,0,"DE",1,19954.8039814815,7.60589000105312,2.28555176336746,1,"DE",1,0,0.257616322008863,0.0110829809259696,2.28555176336746
10000,1,1374,16442,17816,885,0,"DE",1,19954.8096990741,9.21044036697652,7.27802037845706,1,"DE",3,2.54710252122866e-06,0.198569700419839,0.000180117023113951,7.27802037845706
79,0,1526,16278,17804,927,0,"EN",0,19954.8115972222,4.38202663467388,0.0517693315858453,0,"EN",1,0,0.181608148124044,2.13893586108255e-05,0.0517693315858453
3916,1,1611,16205,17816,998,0,"EN",1,19954.8124421296,8.27308133366583,2.43078833022967,1,"EN",1,0,0.177337866607353,1.45371475336669e-05,2.43078833022967
168234,0,3078,14738,17816,1024,0,"EN",0,19954.8294212963,12.0331170904865,54.6569200779727,0,"EN",18,0.000545802351076227,0.271740188918103,0.0271515178967644,54.6569200779727
303,0,2050,15760,17810,1040,0,"EN",0,19954.8175925926,5.71702770140622,0.14780487804878,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.14780487804878
25179,0,2730,15085,17815,1074,0,"EN",1,19954.8254050926,10.1338053075983,9.22307692307692,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,9.22307692307692
22404,1,1062,16754,17816,1113,0,"EN",1,19954.806087963,10.0170394272202,21.0960451977401,1,"EN",2,1.76728702823518e-05,0.230239273927393,0.000929077598028084,21.0960451977401
1038,0,1590,16204,17794,1163,0,"JA",0,19954.8124537037,6.94601399109923,0.652830188679245,0,"OTHER",1,0,0.193401947534394,7.52879090450419e-05,0.652830188679245
1572,0,993,16823,17816,1214,0,"EN",0,19954.8052893519,7.36073990305828,1.58308157099698,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.58308157099698
72,0,1169,16642,17811,1221,0,"EN",0,19954.8073842593,4.29045944114839,0.0615911035072712,0,"EN",1,0,0.254828546641706,0.0103810731390258,0.0615911035072712
21646,0,1831,15983,17814,1224,0,"ZH",0,19954.8150115741,9.98262215569986,11.8219552157291,0,"OTHER",1,0,1,1.77575228384235e-17,11.8219552157291
1330,1,1513,16303,17816,1225,0,"ES",0,19954.8113078704,7.19368581839511,0.879048248512888,0,"ES",0,0,0.242736604036186,1.73380508558426e-17,0.879048248512888
828,0,1347,16388,17735,1231,0,"EN",0,19954.8103240741,6.7202201551353,0.614699331848552,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.614699331848552
1957,0,1071,15617,16688,1245,1,"OTHER",0,19954.8192476852,7.57967882309046,1.82726423902894,0,"OTHER",0,0,0.242736604036186,1.73380508558426e-17,1.82726423902894
16924,1,2588,15228,17816,1247,0,"EN",1,19954.82375,9.73654709778048,6.53941267387944,1,"EN",3,0.000158031545475446,0.231394336415274,0.00127738554716383,6.53941267387944
3558,1,2246,15556,17802,1299,0,"EN",1,19954.8199537037,8.17723488551019,1.58414959928762,1,"EN",1,0,0.254828546641706,0.0103810731390258,1.58414959928762
805,0,848,16961,17809,1371,0,"DE",0,19954.8036921296,6.69208374250663,0.949292452830189,0,"DE",0,0,0.242736604036186,1.73380508558426e-17,0.949292452830189
9240,1,2655,15153,17808,1382,0,"EN",1,19954.8246180556,9.13140538388804,3.48022598870056,1,"EN",4,4.53197520271913e-05,0.293551441195035,0.0518019869492568,3.48022598870056
2342,1,451,17362,17813,1416,0,"EN",1,19954.7990509259,7.7591874385078,5.19290465631929,1,"EN",6,0.00032674479387202,0.243244421199442,0.0030146813887158,5.19290465631929
14402,1,771,17045,17816,1436,0,"EN",1,19954.8027199074,9.57519179719905,18.6796368352789,1,"EN",4,0.000159190318044587,0.266104038525724,0.0128798366393075,18.6796368352789
12048,1,1607,16209,17816,1457,0,"EN",1,19954.8123958333,9.39673694792328,7.49719975108899,1,"EN",3,9.9343169188527e-06,0.258021266759131,0.00682085612490992,7.49719975108899
1915,1,944,16850,17794,1501,0,"EN",1,19954.8049768519,7.55799495853081,2.02860169491525,1,"EN",8,0.000899047273720617,0.267609685926636,0.009774711981368,2.02860169491525
29939,0,1892,15924,17816,1508,0,"ES",1,19954.8156944444,10.3069506579736,15.8239957716702,1,"ES",3,0.000337101998012471,0.29026889270297,0.0337606134208747,15.8239957716702
230658,1,1776,16040,17816,1509,0,"EN",0,19954.8143518519,12.3486957083851,129.875,0,"EN",20,0.000850969417785925,0.288245016010743,0.0271177830037384,129.875
3561,1,925,16891,17816,1519,0,"EN",0,19954.8045023148,8.17807746384961,3.84972972972973,0,"EN",1,0,0.222581159767089,0.000969649015388252,3.84972972972973
1757,1,1931,15882,17813,1547,0,"EN",0,19954.8161805556,7.47193207824512,0.909891248058001,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.909891248058001
2347,0,1949,15863,17812,1555,0,"EN",0,19954.816400463,7.76131918094799,1.20420728578758,0,"EN",1,0,1,1.74002137551392e-17,1.20420728578758
4561,0,2498,15303,17801,1639,0,"EN",0,19954.8228819444,8.42551640284433,1.82586068855084,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.82586068855084
9589,0,2035,15781,17816,1658,0,"EN",0,19954.817349537,9.16847616787748,4.71203931203931,0,"EN",7,1.67841270227912e-05,0.248386666073256,0.00466715005028054,4.71203931203931
46062,0,1348,16466,17814,1682,0,"IT",0,19954.8094212963,10.7377653036896,34.1706231454006,0,"OTHER",4,0.000151504372286595,0.229011079195732,0.000889978793501889,34.1706231454006
10975,1,1003,16813,17816,1693,0,"EN",1,19954.8054050926,9.30346634996567,10.9421734795613,1,"EN",1,0,0.28428076609617,0.0316355139371564,10.9421734795613
4984,1,1857,15955,17812,1706,0,"EN",1,19954.8153356481,8.51418868239594,2.68389876144319,1,"EN",2,7.97842710085219e-06,0.224190568008355,0.00053435673047058,2.68389876144319
187959,1,1546,16270,17816,1732,0,"DE",1,19954.8116898148,12.1439844532168,121.577619663648,1,"DE",0,0,0.242736604036186,1.73380508558426e-17,121.577619663648
2020,0,785,16985,17770,1748,0,"EN",0,19954.8034143519,7.61134771740362,2.57324840764331,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,2.57324840764331
5403,1,1928,15888,17816,1752,0,"EN",1,19954.8161111111,8.59489469908009,2.80238589211618,1,"EN",6,4.10806688864653e-05,0.259859384457792,0.0074719484422069,2.80238589211618
366033,1,1823,15993,17816,1760,0,"EN",0,19954.8148958333,12.8104815042438,200.786066922655,0,"EN",9,0.000411621694884111,0.249776226279986,0.0040167710783795,200.786066922655
29489,0,1876,15940,17816,1778,0,"EN",1,19954.8155092593,10.2918065018093,15.7190831556503,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,15.7190831556503
2764,1,2228,15586,17814,1787,0,"EN",0,19954.8196064815,7.92479591395644,1.24057450628366,0,"EN",3,4.57018439071298e-05,0.292689322425005,0.0355001263131325,1.24057450628366
8215,0,2061,15755,17816,1863,0,"EN",1,19954.817650463,9.01383875160839,3.98592916060165,1,"EN",2,1.08875185792235e-07,0.241790139502643,0.00435271371605494,3.98592916060165
788,0,950,16866,17816,1877,0,"EN",0,19954.8047916667,6.67076632084587,0.829473684210526,0,"EN",2,8.58689904082723e-07,0.239076422206991,0.00241298426403886,0.829473684210526
3049,1,2357,15456,17813,1893,0,"EN",0,19954.8211111111,8.02289686960146,1.29359355112431,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.29359355112431
9416,1,663,17152,17815,1894,0,"EN",1,19954.8014814815,9.15027184551006,14.2021116138763,1,"EN",1,0,0.20654305910218,0.000430147411297407,14.2021116138763
3929,0,1926,15877,17803,1903,0,"EN",0,19954.8162384259,8.27639470486331,2.03997923156802,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,2.03997923156802
102599,0,1955,15861,17816,1906,0,"FR",0,19954.8164236111,11.5385932117188,52.4803069053708,0,"FR",1,0,0.204417258808878,0.000271520977748968,52.4803069053708
2382,1,1780,16016,17796,1913,0,"EN",1,19954.8146296296,7.77611547709874,1.33820224719101,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.33820224719101
5323,0,1889,15921,17810,1922,0,"EN",1,19954.8157291667,8.579980179515,2.81789306511382,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,2.81789306511382
573,0,2641,15120,17761,1938,0,"EN",0,19954.825,6.35262939631957,0.216963271488073,0,"EN",2,1.56732069865195e-05,0.242609980872892,0.0041368217369565,0.216963271488073
20147,1,1694,16121,17815,1939,0,"FR",1,19954.8134143519,9.91086030686554,11.8931523022432,1,"FR",3,2.51943851479783e-06,0.20897143071105,0.000278441615861995,11.8931523022432
16466,1,2154,15649,17803,1944,0,"EN",0,19954.8188773148,9.709113657218,7.64438254410399,0,"EN",2,2.64984404145387e-06,0.269431302500724,0.0203969451053504,7.64438254410399
48020,0,2040,15738,17778,1978,0,"OTHER",0,19954.8178472222,10.7793936942148,23.5392156862745,0,"OTHER",1,0,0.226980640963071,0.00107326367949115,23.5392156862745
435,1,1672,16143,17815,2002,0,"EN",0,19954.8131597222,6.07764224334903,0.260167464114833,0,"EN",1,0,0.22007965613786,0.00063813156375397,0.260167464114833
992,1,3273,14542,17815,2014,0,"EN",0,19954.8316898148,6.90073066404517,0.303085853956615,0,"EN",1,0,1,1.76788175445298e-17,0.303085853956615
96291,1,1937,15879,17816,2062,0,"EN",1,19954.8162152778,11.4751405206075,49.7114093959732,1,"EN",7,0.000170326826326035,0.278687705982223,0.0153902064795536,49.7114093959732
566,0,338,17463,17801,2073,0,"EN",0,19954.7978819444,6.34035930372775,1.67455621301775,0,"EN",1,0,0.222581159767089,0.000969649015388253,1.67455621301775
14148,1,2244,15572,17816,2119,0,"EN",1,19954.8197685185,9.55739922919595,6.3048128342246,1,"EN",18,0.000628713023941623,0.296184259406676,0.0609369801246792,6.3048128342246
756,0,2479,15317,17796,2130,0,"EN",0,19954.8227199074,6.62936325343745,0.304961678096006,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.304961678096006
1807,0,2046,15770,17816,2131,0,"EN",0,19954.8174768519,7.49997654095212,0.883186705767351,0,"EN",1,0,0.211089678127009,0.000437902366386392,0.883186705767351
1876,0,2397,15415,17812,2137,0,"EN",0,19954.8215856481,7.53743003658651,0.78264497288277,0,"EN",1,0,0.28428076609617,0.0316355139371564,0.78264497288277
6009,1,2135,15680,17815,2146,0,"RU",0,19954.8185185185,8.70118002752925,2.81451990632319,0,"RU",0,0,0.242736604036186,1.73380508558426e-17,2.81451990632319
436,0,555,17254,17809,2152,0,"DE",0,19954.8003009259,6.07993319509559,0.785585585585586,0,"DE",0,0,0.242736604036186,1.73380508558426e-17,0.785585585585586
663,1,920,16886,17806,2190,0,"EN",0,19954.8045601852,6.49828214947643,0.720652173913043,0,"EN",3,7.20450923880965e-06,0.209701660780041,0.000238910735128716,0.720652173913043
3883,1,2310,15501,17811,2192,0,"EN",0,19954.8205902778,8.26462082941122,1.68095238095238,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.68095238095238
1268,0,2199,15607,17806,2207,0,"EN",0,19954.8193634259,7.14598446771439,0.57662573897226,0,"EN",6,3.36299686224413e-05,0.250955528575925,0.00554357482441216,0.57662573897226
6323,0,1771,16044,17815,2219,0,"EN",1,19954.8143055556,8.75210719832936,3.57029926595144,1,"EN",6,0.000157463876938851,0.261920405481509,0.0141332316665358,3.57029926595144
3677,0,1688,16128,17816,2221,0,"EN",1,19954.8133333333,8.21012440516427,2.17831753554502,1,"EN",1,0,1,1.75992239602103e-17,2.17831753554502
2554,0,521,17294,17815,2236,0,"EN",1,19954.799837963,7.8458075026378,4.9021113243762,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,4.9021113243762
49652,1,1156,16660,17816,2254,0,"DE",1,19954.8071759259,10.8128140906087,42.9515570934256,1,"DE",2,1.85644604200379e-05,0.232357716807527,0.0014197596806625,42.9515570934256
1709,0,1013,16799,17812,2264,0,"EN",1,19954.8055671296,7.44424864949671,1.68706811451135,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.68706811451135
863,0,162,17654,17816,2279,0,"EN",0,19954.7956712963,6.76157276880406,5.32716049382716,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,5.32716049382716
150890,0,950,16866,17816,2286,0,"KO",1,19954.8047916667,11.9243130008302,158.831578947368,1,"OTHER",3,1.08483381570169e-05,0.169049494153995,6.84799403974601e-06,158.831578947368
1137,1,387,17429,17816,2338,0,"IT",0,19954.798275463,7.03702761468628,2.93798449612403,0,"OTHER",2,1.60768961285144e-05,0.208137540090997,0.000252763759073478,2.93798449612403
3470,0,264,17552,17816,2365,0,"EN",1,19954.7968518519,8.15219801586179,13.1439393939394,1,"EN",2,0,0.211931343510291,0.000528124398611269,13.1439393939394
891,1,819,16969,17788,2381,0,"EN",0,19954.803599537,6.79346613258001,1.08791208791209,0,"EN",2,0,0.255821415474881,0.0143968736668076,1.08791208791209
841,1,1425,16391,17816,2392,0,"EN",0,19954.8102893519,6.73578001424233,0.590175438596491,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.590175438596491
4496,0,1792,16024,17816,2437,0,"EN",1,19954.814537037,8.41116578677071,2.50892857142857,1,"EN",2,1.11583069917967e-06,0.212958369901171,0.000649085516667057,2.50892857142857
125732,1,1632,16184,17816,2476,0,"EN",1,19954.8126851852,11.7419158899563,77.0416666666667,1,"EN",14,0.000551799779764665,0.255388276209216,0.00829952340547795,77.0416666666667
5229,0,1342,16474,17816,2488,0,"EN",0,19954.8093287037,8.56216655705897,3.89642324888227,0,"EN",2,2.48464890016742e-05,0.215532555804433,0.000354017916194467,3.89642324888227
17433,0,1747,16063,17810,2511,0,"EN",0,19954.8140856481,9.76617760157152,9.97882083571838,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,9.97882083571838
24598,1,2580,15236,17816,2537,0,"EN",0,19954.8236574074,10.1104610706877,9.53410852713178,0,"EN",1,0,0.220784872220904,0.000939827871784532,9.53410852713178
281,1,264,17552,17816,2583,0,"EN",0,19954.7968518519,5.64190707093811,1.06439393939394,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.06439393939394
4725,0,3224,14590,17814,2613,0,"PT",0,19954.8311342593,8.46083445774685,1.46557071960298,0,"OTHER",4,5.88180598869575e-05,0.23442684924602,0.00312638163734007,1.46557071960298
4226,0,2028,15724,17752,2650,0,"PL",0,19954.8180092593,8.34924780056679,2.08382642998028,0,"OTHER",1,0,0.204882525697504,0.000351319001697164,2.08382642998028
375,0,1858,15955,17813,2668,0,"ES",0,19954.8153356481,5.92958914338989,0.201829924650161,0,"ES",7,0.00063704863130527,0.267815154278036,0.016576919159559,0.201829924650161
3459,1,1057,16754,17811,2701,0,"EN",1,19954.806087963,8.14902386805177,3.2724692526017,1,"EN",1,0,1,1.78323395634487e-17,3.2724692526017
846306,0,1890,15926,17816,2708,0,"EN",0,19954.8156712963,13.6486374569226,447.780952380952,0,"EN",35,0.00120991705988323,0.298688787797699,0.0462468995093619,447.780952380952
6046,1,2434,15381,17815,2716,0,"EN",0,19954.8219791667,8.70731756027321,2.48397699260477,0,"EN",8,0.000275477988688043,0.277220345718259,0.0194345317574546,2.48397699260477
331,0,569,17245,17814,2752,0,"EN",0,19954.8004050926,5.80513496891649,0.581722319859402,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.581722319859402
3043,0,797,17019,17816,2800,0,"EN",1,19954.8030208333,8.02092771898158,3.81806775407779,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,3.81806775407779
2554,0,669,17146,17815,2831,0,"DE",0,19954.8015509259,7.8458075026378,3.81763826606876,0,"DE",0,0,0.242736604036186,1.73380508558426e-17,3.81763826606876
394,1,1862,15938,17800,2853,0,"EN",0,19954.8155324074,5.97888576490112,0.211600429645542,0,"EN",5,2.22672280563776e-05,0.260417152722691,0.00831196036235802,0.211600429645542
1938,1,1211,16599,17810,2856,0,"NL",0,19954.8078819444,7.56992765524265,1.60033030553262,0,"OTHER",1,0,0.206382664004142,0.000413012547327333,1.60033030553262
5773,1,1040,16776,17816,2866,0,"EN",1,19954.8058333333,8.66112036022288,5.55096153846154,1,"EN",1,0,1,1.76328803487197e-17,5.55096153846154
8561,1,1736,16078,17814,2888,0,"EN",1,19954.813912037,9.05508908670489,4.93145161290323,1,"EN",7,0.000473364124200123,0.281769071540365,0.0187492901381989,4.93145161290323
1111,0,2037,15777,17814,2891,0,"DE",0,19954.8173958333,7.01391547481053,0.545409916543937,0,"DE",1,0,0.233163435828877,0.00147605709424994,0.545409916543937
117,0,619,16738,17357,2898,1,"EN",0,19954.8062731481,4.77068462446567,0.189014539579968,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.189014539579968
55961,1,1289,16525,17814,3010,0,"EN",1,19954.8087384259,10.9324281679549,43.4142746314973,1,"EN",4,8.99210227610848e-05,0.236503093482499,0.00184448273999493,43.4142746314973
13296,0,2631,15179,17810,3015,0,"EN",0,19954.8243171296,9.49529372485671,5.05359179019384,0,"EN",2,6.20892588766398e-06,0.24720942593905,0.00288864707225227,5.05359179019384
2367,0,916,16899,17815,3016,0,"EN",1,19954.8044097222,7.7698009960039,2.58406113537118,1,"EN",1,0,0.185705254051176,2.32953597843456e-05,2.58406113537118
16283,1,2021,15795,17816,3039,0,"EN",1,19954.8171875,9.69793830962287,8.05690252350322,1,"EN",2,4.8974699218201e-06,0.210754880857974,0.000369045256556952,8.05690252350322
7365,1,1937,15877,17814,3045,0,"EN",1,19954.8162384259,8.90463009700501,3.80227155394941,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,3.80227155394941
373,0,2034,15756,17790,3061,0,"EN",0,19954.8176388889,5.92425579741453,0.18338249754179,0,"EN",2,0,0.226483239996754,0.00233563135606907,0.18338249754179
2331,0,917,16899,17816,3082,0,"OTHER",1,19954.8044097222,7.75448154747038,2.54198473282443,1,"OTHER",0,0,0.242736604036186,1.73380508558426e-17,2.54198473282443
4882,1,1327,16487,17814,3084,0,"EN",1,19954.8091782407,8.49351506406166,3.67897513187641,1,"EN",3,0.000158031545475446,0.214061061675361,0.000445883420558326,3.67897513187641
196951,1,624,17192,17816,3087,0,"EN",0,19954.8010185185,12.1907153232091,315.626602564103,0,"EN",18,0.00139797520027916,0.266599789815611,0.0123825117021236,315.626602564103
1516,0,2315,15489,17804,3116,0,"EN",0,19954.8207291667,7.32448997934853,0.654859611231101,0,"EN",1,0,0.225914831606218,0.00106954548627174,0.654859611231101
3645,1,1368,16448,17816,3145,0,"EN",1,19954.8096296296,8.20138595523861,2.66447368421053,1,"EN",5,0.000297888794112482,0.274466410937346,0.0154361421585081,2.66447368421053
8227,0,2092,15724,17816,3198,0,"EN",1,19954.8180092593,9.01529825077285,3.93260038240918,1,"EN",1,0,0.22977479517477,0.00179953865559897,3.93260038240918
629179,1,1674,16142,17816,3215,0,"EN",0,19954.8131712963,13.3521726632656,375.853643966547,0,"EN",31,0.00106367903719421,0.29634152816864,0.0513164348865671,375.853643966547
